,roles,companies,locations,experience,skills
492,Data Scientist,ThinkBumblebee Analytics Pvt. Ltd.,Pune,3-8 Yrs,"Computer science
Operations research
SAS
Campaign management
cassandra
Machine learning
Project delivery
MATLAB"
493,AI Developer/ Data Scientist,OPEXAI BUSINESS CONSULTING LLP,india,3-8 Yrs,"Unix
C++
Linux
Data modeling
Eclipse
MySQL
Data structures
Visual Studio"
494,Data Scientist -Technology,India Anlage Infotech (I) Pvt. Ltd.,Bengaluru,5-10 Yrs,"algorithms
SAS
technical
software
methods
testing
Data structures
Data mining"
495,Data Scientist,Sahasya Global Solutions,Hyderabad,12-17 Yrs,"IT services
development
c
technical
level
System programming
it
Analytics"
496,Senior Data Scientist,Karvy Analytics,Hyderabad,5-10 Yrs,"rest
development
code
Image processing
big data analytics
level
testing
System design"
497,Senior Data Scientist,My Ally,Hyderabad,5-10 Yrs,"Computer science
Prototype
Coding
Django
Analytical
Artificial Intelligence
Web development
Machine learning"
498,Lead Data Scientist and Cognitive Software Engineer,Gladwin Analytics,"Bengaluru, Hyderabad",5-10 Yrs,"Computer science
C++
Prototype
Linux
MySQL
Machine learning
Oracle
Analytics"
499,Senior Executive - MIS ( Data Scientist ),Analytics Vidhya Educon Pvt. Ltd,Mumbai,3-8 Yrs,"data science
RDBMS
MIS
HTML
Data mining
Macros
Analytics
SQL"
500,Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,3-8 Yrs,"Data analysis
data science
Analytical
Machine learning
HTML
Data mining
Analytics
Financial services"
501,Lead / principal Data Scientist,AXCESS CONSULTANCY SERVICES,Bengaluru,0-4 Yrs,"Operations research
Analytical
Machine learning
Data quality
Oracle
Data mining
Digital marketing
big data"
502,AI / ML Data Scientist - Democratize commerce through Technology,CareerXperts Consulting,Noida,2-7 Yrs,"Computer science
System architecture
C++
Image processing
Analytical
Consulting
Machine learning
Data mining"
503,Senior Data Scientist,Applied Data Finance,Chennai,3-7 Yrs,"MySQL Object Oriented program
g Python query language Python"
504,Data Scientist,BHARAT LIGHT AND POWER PRIVATE LIMITED,Bengaluru,2-5 Yrs,"Data analysis
Factor analysis
Linux
Machine learning
Hypothesis Testing
Data processing
big data
SQL"
505,NLP Data Scientist,Finite HR Consulting Private Limited,Bengaluru,3-5 Yrs,"Technical product configuration
c++
C
design
MySQL
JavaScript
integration PHP
HTML"
506,Junior Data Scientist,BangBit Technologies,Bengaluru,1-4 Yrs,"Computer science
Time management
SSRS
Machine learning
Programming
Data structures
SSIS
Troubleshooting"
507,Data Scientist,Protocol Zone,Ahmedabad,1-4 Yrs,"Analytical skills
Computer vision
deep learning
Opencv
Machine learning
Programming
Mathematics
Statistics"
508,Hiring Data Scientist - Pune,People Powered Solutions,Pune(Kalyani Nagar),3-6 Yrs,"python
data science
big data analytics
predictive modeling
Data Scientist
machine learning
business intelligence
sql"
509,Data Scientist,Cumulations Technologies Pvt. Ltd.,not specified,1-3 Yrs,"Tools
mobile
Statistics
SQL
Web technologies
web
R Programming
Machine learning"
510,AI Developer/ Data Scientist,OPEXAI BUSINESS CONSULTING LLP,india,3-8 Yrs,"Unix
C++
Linux
Data modeling
Eclipse
MySQL
Data structures
Visual Studio"
511,Data Scientist,CoStrategix Technologies Pvt. Ltd.,Bengaluru,3-7 Yrs,"Statistical analysis
MySQL
Consulting
Machine learning
Hypothesis Testing
Data structures
Natural language processing
Statistics"
512,Senior Data Scientist,My Ally,Hyderabad,5-10 Yrs,"Computer science
Prototype
Coding
Django
Analytical
Artificial Intelligence
Web development
Machine learning"
513,Manager Data Scientist,3D-IP Semiconductors,Bengaluru,10-12 Yrs,"Computer vision
Technology management
Machine learning
Programming
Manager Technology
PHP
Management
MATLAB"
514,Senior Data Scientist,Emerging India Group,"Delhi, Noida",7-12 Yrs,"Mining
Statistical analysis
SAS
Machine learning
data visualization
big data
Predictive analytics
SQL"
515,Data Scientist,AgileTech InfoSolutions,Chennai,4-9 Yrs,"Retail
C++
Analytical
Machine learning
E-commerce
Perl
Predictive modeling
Data mining"
516,Principal Data Scientist,AXCESS CONSULTANCY SERVICES,Delhi,0-3 Yrs,"Computer science
Data analysis
Machine learning
SCALA
Apache
microsoft
Adobe
Data mining"
517,Data Scientist Embedded Systems Innovation,CareerXperts Consulting,Bengaluru,3-7 Yrs,"Unix
Ubuntu
GIT
Analytical
Debugging
Machine learning
Programming
Product design"
518,Data Scientist ( Python Expert ),Analytics Vidhya Educon Pvt. Ltd,Hyderabad,4-9 Yrs,"data science
Image processing
Bfsi
MySQL
Healthcare
System design
HTML
Analytics"
519,Data Scientist,Angel Broking Limited,Andheri,4-8 Yrs,"data science
R Programming
Machine learning
Programming
Data quality
data visualization
big data
Statistics"
520,Lead Data Scientist,Snaphunt,Delhi NCR,5-10 Yrs,"Tensorflow
Pattern Recognition
Natural Language Processing
Computer Science
Hadoop
Big Data
Data Mining
Spark"
521,Principal Data Scientist,Britive,Bengaluru,8-13 Yrs,"Computer science
Data analysis
PDF
Coding
Data modeling
Analytical
Machine learning
Data mining"
522,Manager Data Scientist,Innefu Labs,Delhi,6-11 Yrs,Python
523,Machine Learning-data Scientist,Saffron Consultancy Services(scs),Pune,6-10 Yrs,"Technical product configuration
c++
C
design
MySQL
JavaScript
integration PHP
HTML"
524,Hiring For FREELANCE DATA SCIENTIST - BANGALORE,Atyati Technologies Pvt. Ltd.,Bengaluru,4-8 Yrs,"IT Skills
Python
Data Science
Machine Learning
Big Data
Tableau
Azure
freelance"
525,Sr. Data Scientist / Analyst,Speridian Technologies Pvt Ltd,"Mumbai, Bengaluru",10-15 Yrs,"Analyst
Artificial Intelligence
Social media
Manager Technology
Customer service
Data mining
big data
Operations"
526,IQM - Data Scientist,IQM Corporation,"Ahmedabad, ahmedabad",8-10 Yrs,"analytical
Data processing
Business Executive
Computer science
Algorithms
Coding
Machine learning
design"
527,Data Scientist,NSE.IT Ltd,Mumbai,5-10 Yrs,"Text mining
deep learning
Automation
Neural networks
Machine learning
Housing finance
Deployment
data visualization"
528,Senior Data Scientist / Algorithms Specialist,AmyLogic,Bengaluru,4-5 Yrs,"technical
software
MPP
tools
sql
analytics
web
MySQL"
529,Data Scientist,VEHERE INTERECTIVE PVT LTD,Kolkata,5-9 Yrs,"Computer science
deep learning
cyber security
Machine learning
Data structures
Troubleshooting
Data mining
Analytics"
530,Data Scientist,Dapl India Private Limited,"Mumbai, Indore",5-8 Yrs,"R
nlp
data science
data mining
statistical analysis
Machine Learning"
531,Data Scientist- Mumbai,Skyleaf Consultants,Mumbai,12-18 Yrs,"Data Science
matlab
Data analyst
R
Analysis Services
Microsoft Azure
Technical Leadership
Data Warehousing"
532,Data Scientist,KRINTEK GLOBAL PRIVATE LIMITED,"Pune, Navi Mumbai, Mumbai",6-11 Yrs,"R
SAS
Power Bi
Data Scientist
Hadoop
Tableau
Spark
Qlik View"
533,Urgent Hiring For Data Scientist,Amantya Technologies Pvt Ltd,Gurgaon,6-11 Yrs,"Java
Hive
R
Hadoop
SCALA
Kafka
MS SQL Server
Spark"
534,Senior Data Scientist,Turings (formerly Tuple),"Delhi NCR, Bengaluru",6-11 Yrs,"deep learning
algorithms
python
tensorflow
Multithreading
data science
Scalability
pytorch"
535,Senior Data Scientist,CAPITALCLOUD INDIA PRIVATE LIMITED,Bengaluru,4-9 Yrs,"Natural Language Processing
Machine Learning
Deep Learning
Nltk
Tensorflow
NLP
Exploratory Data Analysis
Scikit-Learn"
536,Senior Data Scientist,Glass Cube consulting private limited,Bengaluru,5-10 Yrs,"Computer science
Bfsi
Consulting
Machine learning
Asset management
Outsourcing
Business intelligence
Data mining"
537,Data Scientist(4-8 Yrs),E-Hireo Global Solutions Pvt Ltd,Gurgaon,4-8 Yrs,"image processing
gis
algorithms
python
r
machine learning
programming"
538,"Senior Data Scientist in Manhattan Associates (r&d), Bengaluru",UNICON HR SOFTECH PVT LTD,Bengaluru,6-11 Yrs,"python
senior data scientist
data mining
Machine Learning
sr. data scientist"
539,Data Scientist,Larsen & Toubro Infotech Limited,Pune,5-10 Yrs,"Statistical programming
Excel
SAS
GCP
Analytical
Downstream processing
Machine learning
power bi"
540,DATA SCIENTIST (Analytics Technology),Melstar Information Technologies Ltd,"Bengaluru, Gurgaon",7-12 Yrs,"C++
SAS
technical
it
Data mining
Analytics
SQL
Computer science"
541,Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,4-5 Yrs,"data science
Machine learning
Deployment
Author
HTML
Data mining
Analytics
Android"
542,Senior Data Scientist,The Data Team,"Chennai, Bengaluru",10-12 Yrs,"Computer science
Data analysis
Linux
data science
Business analysis
Machine learning
SCALA
test driven development"
543,Data Scientist,UNCAP RESEARCH LABS PVT LTD,"Delhi NCR, Bengaluru",4-9 Yrs,"Pytorch
Tensorflow
Object Detection
Cnn
Opencv
Image Processing
Keras
Computer Vision"
544,Lead Data Scientist,QubeRoot Analytics,Bengaluru,5-8 Yrs,"algorithms
Data analysis
Bfsi
testing
developing
Data mining
tools
SQL"
545,Senior Data Scientist & Data Analyst,BSRI Solutions Private Limited,Chennai,4-8 Yrs,"cloudera
hive
python
data analysis
data mining
pyspark
hadoop framework
machine learning"
546,Senior Data Scientist,STATXO,"Bengaluru, Gurgaon",4-6 Yrs,"Analytical skills
advanced analytics
Chemical
Industrial products
Manager Technology
Market research
MS Office
Word VBA"
547,Data Scientist,IQLECT,Bengaluru,5-8 Yrs,"Computer science
algorithms
python
RF
testing
Machine learning
Tools
Regression"
548,Senior Data Scientist,NutaNXT Technologies,"Pune, Bengaluru",10-20 Yrs,"SAN
Data analysis
Python"
549,Manager - Data Scientist,RGF Professional Recruitment India,Bengaluru,10-15 Yrs,"Supply chain
Business process
Cloud computing
Business objects
MS SQL
Semiconductor
SAP
Agile"
550,Sr. Data Scientist - Bangalore location,Populux HR,Bengaluru,4-9 Yrs,"Predictive Modeling
python
R
Data Scientist
Sr.Data Scientist
Senior Data Scientist
Data Mining
Lead Data Scientist"
551,Principal Data Scientist,CereSight,India,4-9 Yrs,"Computer science
deep learning
data science
spark
Artificial Intelligence
Machine learning
Manager Technology
big data"
552,Data Scientist,Priority Vendor,Noida,5-10 Yrs,"Hibernate
ERP
MS SQL
jQuery
XML
MySQL
Agile
HTML"
553,Senior and Chief Data Scientist - - Analytics Vidhya,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,15-18 Yrs,"C++
Business objects
SAS
Cognos
HTML
Perl
Teradata
Open source"
554,Data Scientist,The Data Team,"Chennai, Bengaluru",10-15 Yrs,"data science
Linux
RDBMS
MySQL
Javascript
Oracle
Business intelligence
SQL"
555,Data Scientist Analytics-Text Analytics Expert- - Analytics Vidhya,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,8-13 Yrs,"Computer science
Neural networks
Artificial Intelligence
Machine learning
Algorithm development
HTML
Natural language processing
Pattern recognition"
556,Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,5-10 Yrs,"Microstrategy
Web analytics
Database design
HTML
Perl
Business intelligence
Data mining
SQL"
557,Data Scientist / Business Analyst,Analytics Vidhya Educon Pvt. Ltd,Mumbai,10-15 Yrs,"MS SQL
Excel
data science
Financial reporting
RDBMS
Database design
Analytical
HTML"
558,Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Chennai,7-12 Yrs,"Computer science
Web analytics
Machine learning
Data structures
HTML
Test cases
Open source
Data mining"
559,Data Scientist III,"General Mills, Inc.",Mumbai,6-11 Yrs,"Automation
Analytical
Machine learning
HTML
Data mining
Business solutions
Operations
Analytics"
560,DATA SCIENTIST (Analytics Technology),Melstar Information Technologies Ltd,"Bengaluru, Gurgaon",7-12 Yrs,"C++
SAS
technical
it
Data mining
Analytics
SQL
Computer science"
561,Data Scientist / Business Analyst,Analytics Vidhya Educon Pvt. Ltd,Mumbai,10-15 Yrs,"MS SQL
Excel
data science
Financial reporting
RDBMS
Database design
Analytical
HTML"
562,Machine Learning-data Scientist,Saffron Consultancy Services(scs),Pune,6-10 Yrs,"Technical product configuration
c++
C
design
MySQL
JavaScript
integration PHP
HTML"
563,Data Scientist,The Data Team,"Chennai, Bengaluru",10-15 Yrs,"data science
Linux
RDBMS
MySQL
Javascript
Oracle
Business intelligence
SQL"
564,Lead Data Scientist,QubeRoot Analytics,Bengaluru,5-8 Yrs,"algorithms
Data analysis
Bfsi
testing
developing
Data mining
tools
SQL"
565,Lead Data Scientist,Walmart Labs,Bengaluru,6-10 Yrs,"Unix
deep learning
Linux
data science
Machine learning
SCALA
Agile
Online advertising"
566,Sr NLP & Text Mining Data Scientist,Valence Health,Pune,7-12 Yrs,"Unix
C++
Automation
data science
Linux
Agile
Data structures
Open source"
567,"Data Scientist, Pratham Digital",PRATHAM Education,"Mumbai, henry,uttar pradesh,rajasthan",5-8 Yrs,"Computer science
C++
NoSQL
Machine learning
Javascript
Data collection
Data mining
MATLAB"
568,Product development Data Scientist ML,CareerXperts Consulting,Bengaluru,4-7 Yrs,"Unix
GIT
Analytical
Machine learning
Debugging
Programming
Product design
high performance computing"
569,Senior Data Scientist,Lymbyc,Bengaluru,5-7 Yrs,"Computer science
Computer vision
Operations research
google api
Machine learning
SCALA
Natural language processing
Data mining"
570,Senior Data Scientist,Nanobi Data And Analytics Pvt Ltd,Bengaluru,7-9 Yrs,"SAS
data science
Consulting
Presales
model development
SPSS
big data
Business Executive"
571,Senior Data Scientist,STATXO,"Bengaluru, Gurgaon",4-6 Yrs,"Analytical skills
advanced analytics
Chemical
Industrial products
Manager Technology
Market research
MS Office
Word VBA"
572,Data Scientist,IQLECT,Bengaluru,5-8 Yrs,"Computer science
algorithms
python
RF
testing
Machine learning
Tools
Regression"
573,Senior Data Scientist,NutaNXT Technologies,"Pune, Bengaluru",10-20 Yrs,"SAN
Data analysis
Python"
574,Business Analyst/data Scientist,IT TRAILBLAZERS CONSULTING PVT. LTD.,Mumbai(Bandra Kurla Complex),10-20 Yrs,"Financial Services
Finance
Problem Solving
Corporate Banking
Credit Risk
Product Data Management
Data Analytics
Business Analysis"
575,Lead - Data Scientist,BigTapp Analytics Pte Ltd,Chennai,5-7 Yrs,"C++
Data analysis
Prototype
SAS
cassandra
Analytical
Actuarial
SPSS"
576,Principal Data Scientist,CereSight,India,4-9 Yrs,"Computer science
deep learning
data science
spark
Artificial Intelligence
Machine learning
Manager Technology
big data"
577,Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Chennai,7-12 Yrs,"Computer science
Web analytics
Machine learning
Data structures
HTML
Test cases
Open source
Data mining"
578,Data scientist,Prolim Infosystems Pvt Ltd.,Bengaluru,8-11 Yrs,"Engineering services
Data analysis
ERP
SAS
Staffing
Project management
Social media
Consulting"
579,Research Data Scientist,Analytics Quotient,Bengaluru,4-9 Yrs,"Computer science
Cluster analysis
Prototype
Neural networks
Analytical
Machine learning
Mathematics
Research"
580,Data Scientist - Application & Operations,Global Talent Pool,Pune,7-10 Yrs,"Unix
O2C
ERP
Accounting
Report writing
Billing
Troubleshooting
SQL"
581,Data Scientist -- Bangalore,Genex Corporate Services Pvt. Ltd,Bengaluru,4-9 Yrs,"Data Mining
Third Party
Machine Learning"
582,Data Scientist - Sr Manager,Skills Hr,Pune,5-10 Yrs,"Supply chain
Microstrategy
Analytical skills
Simulation
MySQL
Supply chain solutions
Data mining
Econometrics"
583,Data Scientist,Aliqan Services Private Limited,Other National Locations,5-10 Yrs,"IT Skills
Python
Big Data
work from home
pysyft
Data Science
Django
Big Data"
584,Sr Data Scientist - TOP US MNC - Bangalore,DelegateIT India LLP,Bengaluru,10-15 Yrs,"Predictive Modeling
Cnn
NLP
Data Science
Exploratory Data Analysis
Operations Research
Text Mining
Machine Learning"
585,Data Scientist,UNCAP RESEARCH LABS PVT LTD,"Delhi NCR, Bengaluru",4-9 Yrs,"Pytorch
Tensorflow
Object Detection
Cnn
Opencv
Image Processing
Keras
Computer Vision"
586,Sr NLP & Text Mining Data Scientist,Valence Health,Pune,7-12 Yrs,"Unix
C++
Automation
data science
Linux
Agile
Data structures
Open source"
587,Dev - Data Scientist,Diamond pick,Bengaluru,7-12 Yrs,Dev - Data Scientist
588,Sr . Data Scientist,Slack,Pune,6-11 Yrs,"SAN
Academic Research
Consulting
Business intelligence
Operations
Analytics
Quantitative analysis
SQL"
589,DATA SCIENTIST,AI Enterprise,Bengaluru,5-10 Yrs,"Unix
Computer science
Linux
MIS
Social media
Shell scripting
Data mining
MATLAB"
590,Sr. Data Scientist :: UHG :: Noida :: NIkita,PEOPLE STAFFING SOLUTIONS,Noida,5-8 Yrs,"python
nlp
data science
sas
machine learning"
591,Data Scientist-Bangalore-Immediate Joinee,Kelly Outsourcing and Consulting Group India Priv ate Limited,Bengaluru,5-8 Yrs,"Data Scientist
Machine Learning"
592,Sr. Data Scientist - Bangalore location,Populux HR,Bengaluru,4-9 Yrs,"Predictive Modeling
python
R
Data Scientist
Sr.Data Scientist
Senior Data Scientist
Data Mining
Lead Data Scientist"
593,Data Scientist,Aura Placement and Services,Ahmedabad(Ashram Road),5-6 Yrs,"Business logic
NLP
GIT
Python language
AI
Data Mining
Conduct designs and code reviews
Machine Learning"
594,Data Scientist For Trivandrum,Kenan Management Consultants Private Limited,Trivandrum,5-7 Yrs,"C++
Google Analytics
SLQ
Redshift
Python"
595,Lead - Data Scientist,BigTapp Analytics Pte Ltd,Chennai,5-7 Yrs,"C++
Data analysis
Prototype
SAS
cassandra
Analytical
Actuarial
SPSS"
596,Data Scientist,Jubna,Noida,4-9 Yrs,"C++
Data analysis
data science
SAS
Project management
Agile
Perl
Business intelligence"
597,Data Scientist_ Intersoft Data Labs,Intersoft Data Labs & Solutions Pvt Ltd,Gurgaon,5-10 Yrs,"Data Science
Machine Learning
Python
NLP
Data Mining
Text Mining
Spark
Statistics"
598,Manager -Data Scientist,Spectrum Talent Management,Noida,5-10 Yrs,"Economics
E-learning
advanced analytics
Data analysis
Statistical modeling
Staffing
Mathematics
Talent management"
599,Sr. Data Scientist,Orcapod Consulting Services Private Limited,Bengaluru,6-10 Yrs,"Data Science
R
SAS
Statistical Modeling
Machine Learning
Python"
600,Data Scientist,Mindcurv Technology Solutions Pvt Ltd,Kochi,4-8 Yrs,"Java
Maths
Azure
Big Data Analytics
Artificial Intelligence
Hadoop
Tableau
Machine Learning"
601,AGM Data Scientist - Top Durable Brand - Mumbai,Smart Source,Mumbai,10-18 Yrs,"data science
team role
machine learning
market analysis
predictive analysis"
602,Data Scientist - Delhi (automobile OEM),Industrial Personnel Network,Delhi,5-8 Yrs,"data scientist
big data
Data Analytics"
603,Data Scientist - Delivery,Uniphore Software Systems Private Limited,Bengaluru,5-6 Yrs,"Predictive Modeling
Time Series Analysis
Contact Center
Advanced Analytics
Statistical Modeling
machine learning"
604,Data Scientist,DMI Innovations Pvt. Ltd,Bengaluru,5-10 Yrs,"R
Python
SQL"
605,Senior Data Scientist & Data Analyst,BSRI Solutions Private Limited,Chennai,4-8 Yrs,"cloudera
hive
python
data analysis
data mining
pyspark
hadoop framework
machine learning"
606,Data Scientist,Linedata,Mumbai(Vikhroli),4-9 Yrs,"python
nlp
natural language processing
sentiment analysis
data mining
statistical modeling
machine learning
pattern recognition"
607,Data Scientist,Profisor Services Pvt. Ltd.,Gurgaon,8-13 Yrs,"Algorithms
Bfsi
Analytical
Consulting
Machine learning
Agile
Tools
Healthcare"
608,Job | Data Scientist,TopGear Consultants Pvt Ltd.,Bengaluru,5-10 Yrs,"gradient boosting
data science
decision trees
data scientist
random forest"
609,AVP - Data Scientist - Top General Insurance Company.,Right Match HR Services Pvt Ltd,Mumbai,8-12 Yrs,"r
python
sas
data science
Data Scientist
decision trees
statistical modeling
clustering"
610,Data Scientist,MM JAIN AGENCIES,"Mumbai Suburbs, Mumbai, Indore",5-10 Yrs,"nlp
Data Scientist"
611,DISYS Chennai hiring For Data Scientist,DISYS INDIA PRIVATE LIMITED,Chennai(Taramani),12-22 Yrs,"Tensorflow
R
NLP
Artificial Intelligence
Data Scientist
Natural Language Processing
Text Mining
Machine Learning"
612,Business Analyst/data Scientist,IT TRAILBLAZERS CONSULTING PVT. LTD.,Mumbai(Bandra Kurla Complex),10-20 Yrs,"Financial Services
Finance
Problem Solving
Corporate Banking
Credit Risk
Product Data Management
Data Analytics
Business Analysis"
613,Chief Data Scientist - Customer & Marketing Analytics,Excellers Management Services Pvt Ltd,"Chennai, Bengaluru",13-23 Yrs,"Customer Analytics
Marketing Analytics
Data Science
Artificial Intelligence
Customer Marketing
data scientist
Machine Learning
Predictive Analytics"
614,Python /data Scientist,Parth Realtech India pvt ltd,Gurgaon,4-9 Yrs,"Communication Skills
Artificial Intelligence
Machine Learning
Python"
615,Data Scientist,MM JAIN AGENCIES,Mumbai,8-13 Yrs,"data mining
data scientist
algorithm"
616,"Sr Data Scientist - Computer Vision, Deep Learning",HERE Technologies,"Mumbai, Mumbai City",4-9 Yrs,"Data Science
Image segmentation
Deep Learning Computer Vision
Object detection
Machine Learning"
617,Senior Data Scientist(Build Data Models/Solutions) -Bangalore/Chennai,2Coms Consulting Pvt Ltd.,"Chennai, Bengaluru",6-11 Yrs,"Machine Learning
Code
Data Science
R
Data Model
NLP
Algorithms
Coding"
618,"Lead Data Scientist (data Analysis, Machine Learning)",HERE Technologies,"Mumbai, Mumbai City",5-10 Yrs,"Data Science
data analysis
Algorithm development
Statistical Modeling
Machine Learning
Modeling
Python"
619,Data Scientist | Kochi or Trivandrum,Experion Technologies (I) Pvt. Ltd.,"Trivandrum, Kochi",7-10 Yrs,"Java
Hive
Couchdb
Hadoop
MySQL
MS SQL Server
MongoDB
Spark"
620,Data Scientist,Mindcurv Technology Solutions Pvt Ltd,Kochi,4-8 Yrs,"Java
Maths
Azure
Big Data Analytics
Artificial Intelligence
Hadoop
Tableau
Machine Learning"
621,Data Scientist - Delhi (automobile OEM),Industrial Personnel Network,Delhi,5-8 Yrs,"data scientist
big data
Data Analytics"
622,Data Scientist,Intertrustviteos Corporate and Fund Services Private Limited,Bengaluru(Electronics City Phase 1),5-10 Yrs,Data Scientist
623,Data Scientist | Kochi or Trivandrum,Experion Technologies (I) Pvt. Ltd.,"Trivandrum, Kochi",7-10 Yrs,"Java
Hive
Couchdb
Hadoop
MySQL
MS SQL Server
MongoDB
Spark"
624,Senior Data Scientist,Fractal.ai,Bengaluru,4-8 Yrs,"Process automation
Biometrics
customer analytics
Prototype
Diagnostics
Analytical
Artificial Intelligence
Machine learning"
625,Data Scientist,Seven Consultancy,Noida,2-5 Yrs,"Cloud computing
component design
Bloomberg
Design development
Programming
Application development
MongoDB
Unit testing"
626,Data Scientist,Shadowfax Technologies Pvt. Ltd.,Gurgaon,1-3 Yrs,"skills
algorithms
data-mining
c
analytical
and
MATLAB
Solid"
627,Data Scientist / Analyst,Hyrefox,Jaipur,2-7 Yrs,"Business objects
Google Analytics
Coding
MySQL
Machine learning
Predictive modeling
Data mining
Business solutions"
628,Associate Data Scientist,HR Devi and Associates,Mumbai,1-2 Yrs,"python
NLP
Pharma
Medical
Management
Safety
machine learning
big data"
629,Data Scientist,staffio HR,"Pune, Mumbai, Hyderabad, Gurgaon",3-8 Yrs,"Unix
Computer science
Prototype
Front end
Analytical
Javascript
PHP
Data mining"
630,Data Scientist,GD Research Center Pvt Ltd,Hyderabad,2-4 Yrs,"Data analysis
Team management
Data management
Project management
Consulting
Data collection
Project planning
Data mining"
631,Data Scientist,XIUS,Hyderabad,1-3 Yrs,"deep learning
Analytical
Agile development
Machine learning
Deployment
Forecasting
Analytics
Supervision"
632,TTEC - Data Scientist,TTEC,Hyderabad,1-3 Yrs,"Computer science
MS Office suite
SAN
French
SAS
Consulting
Machine learning
SMS"
633,Data Scientist,AGUILASS,"Hyderabad, Gurgaon",3-6 Yrs,"spark
SCALA
Machine learning
Hadoop
Data Analyst
Business intelligence
big data
Predictive analytics"
634,Data Scientist,VSigma IT Labs Pvt. Ltd.,Hyderabad,2-5 Yrs,Data Scientist
635,Senior Data Scientist - Natural Language Processing,TNS holdings,Hyderabad,3-8 Yrs,"Text mining
Logistic regression
metadata
data science
Neural networks
Machine learning
Agile
Natural language processing"
636,Data Scientist,Walmart,Other,0-5 Yrs,NA
637,Data Scientist,Cappius Technologies Pvt. Ltd.,Hyderabad,2-7 Yrs,Data Scientist
638,Data Scientist,MNR DataMight Pvt. Ltd.,Hyderabad,2-5 Yrs,Data Scientist
639,Data Scientist,Seven Consultancy,"Navi Mumbai, Mumbai",3-6 Yrs,"Data analysis
Artificial Intelligence
Machine learning
Management consulting
Pattern recognition
Data mining
Forecasting
SQL"
640,Data Scientist,"NUMERIFY, INC.",Bengaluru,2-7 Yrs,"Computer science
data science
Coding
Machine learning
Tools
Customer service
Data mining
Open source"
641,Data Scientist Jobs,Right Step Consulting,Noida,1-5 Yrs,"Visualization
Analytical
Calculus
Business intelligence
Forecasting
SQL
Python
AnalyticsSoftware services"
642,Data Scientist,Shadowfax Technologies Pvt. Ltd.,Gurgaon,1-3 Yrs,"skills
algorithms
data-mining
c
analytical
and
MATLAB
Solid"
643,Business Analyst - Data Scientist,Hyrefox,Gurgaon,3-5 Yrs,"BPO
Automation
Project management
Analytical
ITES
Data mining
Forecasting
Operations"
644,Associate Data Scientist,HR Devi and Associates,Mumbai,1-2 Yrs,"Usage
SAP
Claims
SAS R
Clinical trials
Programming
Excellent Communication skill
Clinical research"
645,Data Scientist,Tech Ringers,Hyderabad,2-5 Yrs,"BPO
Computer science
Operations research
Staffing
Pharma
Consulting
Hadoop
Industrial engineering"
646,Analyst Data Scientist,CAMSDATA Technologies India Pvt Ltd,"Chennai, Pune, Mumbai, Bengaluru, Hyderabad",3-8 Yrs,"Computer science
Evaluation
Data analysis
Email
Data management
Tools
Information retrieval
Data processing"
647,Data Scientist,XIUS,Hyderabad,1-3 Yrs,"deep learning
Analytical
Agile development
Machine learning
Deployment
Forecasting
Analytics
Supervision"
648,Data Scientist,MTW LABS INNOVATIONS INDIA PRIVATE LIMITED,Hyderabad,1-5 Yrs,"Data analysis
SAS
Data modeling
Machine learning
SCALA
Agile
Data mining
JIRA"
649,BDB Data Scientist,"ANMUTSOLUTIONS Pvt,Ltd.","Bengaluru, Hyderabad",3-8 Yrs,"ERP
Data analysis
Team Building
SAS
Simulation
Analytical
Social media
Healthcare"
650,Lead Data Scientist,Catalyst,Bengaluru,2-7 Yrs,"Data Science
Pattern Recognition
Artificial Intelligence AI
Image Processing
Computer Science
Data Mining
Research
Computer Vision"
651,Data Scientist,MNR DataMight Pvt. Ltd.,Hyderabad,2-5 Yrs,Data Scientist
652,Senior Manager I - Data Scientist,Walmart,Other,0-5 Yrs,NA
653,Requirement of Data Scientist - Mortgage Finance,FinAcPlus,Hyderabad,3-8 Yrs,"Business process
Computer science
Back office
Data analytics
data visualization
Data mining
Powerpoint
Macros"
654,Data Scientist - Python/ R,Catalyst,Bengaluru,2-6 Yrs,"Product Development
Quantitative Analysis
Computer Science
Senior Management
Product Engineering
Organization Skills"
655,Analyst - Data Scientist,Hyrefox,Gurgaon,1-3 Yrs,"BPO
Automation
Project management
Analytical
ITES
Data mining
Forecasting
Operations"
656,Data Scientist,Hyrefox,Jaipur,2-5 Yrs,"data science
Machine learning
Programming
data visualization
Data mining
Open source
MATLAB
SQL"
657,Data Scientist,Hyrefox,Mumbai,1-3 Yrs,"Computer vision
deep learning
spark
Opencv
Machine learning
Packaging
Data structures
Statistics"
658,Data Scientist / Analyst,Hyrefox,Jaipur,2-7 Yrs,"Business objects
Google Analytics
Coding
MySQL
Machine learning
Predictive modeling
Data mining
Business solutions"
659,Data Scientist,Hyrefox,Jaipur,2-5 Yrs,"Computer science
Data analysis
Operations research
MySQL
Machine learning
Data structures
Data mining
Software services"
