,roles,companies,locations,experience,skills
120,Principal Software Engineer -data Scientist-from Pedigree Only,Peoplefy Infosolutions Pvt. Ltd.,Bengaluru,7-12 Yrs,"Data Science
r
ggplot
Data Scientist
data mining
Data Visualization
Tableau
Machine Learning"
121,Senior Data Scientist,Orcapod Consulting Services Private Limited,Bengaluru,6-10 Yrs,Artificial Intelligence
122,Data Scientist - IT,Ehireo,Gurgaon,4-9 Yrs,"R
Business Solutions
Algorithms
Image Processing
Programming
Machine Learning
Python"
123,Lead Data Scientist-Python and R,HR Innovation Group,"Nagpur, Nagpur IT Park",5-8 Yrs,"R
System Design
Artificial Intelligence
Risk Evaluation
Price Forecasting
Python"
124,Excellent Opp For Data Scientist For Bangalore with top Healthcare Org,Collabera Technologies Private Limited,Bengaluru,5-10 Yrs,"NLP
Data Scientist
Hadoop
Senior Data Scientist
Keras
Spark
Machine Learning
Numpy"
125,Data Scientist -global Product Based Company -bangalore,Selective Global Search Pvt. Ltd.,Bengaluru,10-20 Yrs,"Data Science
Presentation Skills
NLP
Computer Science
Research Development
Statistical Data Analysis
Computer Vision
Machine Learning"
126,Data Scientist (machine Learning /ai)- Financial Services,Mastermind Network,Delhi NCR,6-8 Yrs,"deep learning
python
natural language processing
data science
decision trees
text mining
random forest
machine learning"
127,Data Scientist,Peoplefy Infosolutions Pvt. Ltd.,Mumbai,5-9 Yrs,"Data Science
R
Logistic Regression
Text Analytics
Statistical Modeling
Data Mining
Tableau
Machine Learning"
128,"Sr. Data Scientist- Python and R , Matlab",HR Innovation Group,"Nagpur, Nagpur Itpark",5-10 Yrs,"R
adoption of AI / ML
MATLAB
Price Forecasting & Risk evaluation.
Python"
129,Data Scientist Opening with Top Healthcare organization For Bangalore,Collabera Technologies Private Limited,Bengaluru,5-10 Yrs,"NLP
Artificial Intelligence
Data Scientist
Hadoop
Pandas
Senior Data Scientist
Keras
Spark"
130,Senior Data Scientist,Turbohire Technologies Pvt. Ltd.,Hyderabad,2-5 Yrs,"Java
NLP
Expect
Django
Artificial Intelligence
Web Technologies
Machine Learning
Web Development"
131,Data Scientist - Machine/deep Learning Algorithms,CarbyneTech India,Hyderabad,3-8 Yrs,"Data Science
NLP
Data Scientist
Artificial Intelligence
Neural Networks
Machine Learning
Deep Learning
Python"
132,Data Scientist - Nlp/r/python,The Hiring Story,Hyderabad,2-5 Yrs,"Data Science
R
NLP
NoSQL
Data Scientist
Data Management
Python
SQL"
133,Walk-in Drive For Data Scientist - March 19,FTD India Pvt. Ltd,Hyderabad,3-5 Yrs,"PowerShell
Java
Chatbots
Google Dataflow
Text Mining
Machine Learning
Deep Learning
Data Science"
134,Junior Data Scientist/ta,WSD CONSULTANT PRIVATE LIMITED,"Chennai, Pune, Mumbai, Bengaluru, Hyderabad, Gurgaon",1-5 Yrs,"Data Science
Machine learning content development
Artificial Intelligence
Data Scientist
Machine Learning"
